t	x
17.550000	0
17.566667	0
17.583333	0
17.600000	0
17.616667	0
17.633333	0
17.650000	0
17.666667	0
17.683333	0
17.700000	0
17.716667	0
17.733333	0
17.750000	0
17.766667	0
17.783333	0
17.800000	0
17.816667	0
17.833333	0
17.850000	0
17.866667	0
17.883333	0
17.900000	0
17.916667	0
17.933333	0
17.950000	0
17.966667	0
17.983333	0
18.000000	0
18.016667	0
18.033333	0
18.050000	0
18.066667	0
18.083333	0
18.100000	0
18.116667	0
18.133333	0
18.150000	0
18.166667	0
18.183333	0
18.200000	0
18.216667	0
18.233333	0
18.250000	0
18.266667	0
18.283333	0
18.300000	0
18.316667	0
18.333333	0
18.350000	0
18.366667	0
18.383333	0
18.400000	0
18.416667	0
18.433333	0
18.450000	0
18.466667	0
18.483333	0
18.500000	0
18.516667	0
18.533333	0
18.550000	0
18.566667	0
18.583333	0
18.600000	0
18.616667	0.085
18.633333	0.11
18.650000	0.175
18.666667	0.015
18.683333	0
18.700000	0.1
18.716667	0.07
18.733333	0.145
18.750000	0.18
18.766667	0.225
18.783333	0.3
18.800000	0.165
18.816667	0.075
18.833333	0.075
18.850000	0.065
18.866667	0.07
18.883333	0.18
18.900000	0.085
18.916667	0.14
18.933333	0.07
18.950000	0.11
18.966667	0.15
18.983333	0.12
19.000000	0.075
19.016667	0.12
19.033333	0.125
19.050000	0.04
19.066667	0.105
19.083333	0.185
19.100000	0.075
19.116667	0.12
19.133333	0.045
19.150000	0.095
19.166667	0.11
19.183333	0.095
19.200000	0.075
19.216667	0.04
19.233333	0.07
19.250000	0.02
19.266667	0
19.283333	0
19.300000	0
19.316667	0
19.333333	0.1
19.350000	0
19.366667	0.105
19.383333	0.015
19.400000	0.05
19.416667	0
19.433333	0
19.450000	0
19.466667	0
19.483333	0
19.500000	0
19.516667	0.015
19.533333	0.005
19.550000	0.01
19.566667	0
19.583333	0
19.600000	0.11
19.616667	0.045
19.633333	0.025
19.650000	0.125
19.666667	0.02
19.683333	0.065
19.700000	0.02
19.716667	0.015
19.733333	0
19.750000	0.02
19.766667	0
19.783333	0.05
19.800000	0
19.816667	0
19.833333	0
19.850000	0
19.866667	0
19.883333	0
19.900000	0
19.916667	0
19.933333	0
19.950000	0
19.966667	0
19.983333	0
20.000000	0
20.016667	0
20.033333	0
20.050000	0
20.066667	0
20.083333	0
20.100000	0
20.116667	0
20.133333	0
20.150000	0
20.166667	0
20.183333	0
20.200000	0
20.216667	0
20.233333	0
20.250000	0
20.266667	0
20.283333	0
20.300000	0
20.316667	0
20.333333	0
20.350000	0
20.366667	0
20.383333	0
20.400000	0
20.416667	0
20.433333	0
20.450000	0
20.466667	0
20.483333	0
20.500000	0
20.516667	0
20.533333	0
20.550000	0
20.566667	0
20.583333	0
20.600000	0
20.616667	0
20.633333	0
20.650000	0
20.666667	0
20.683333	0
20.700000	0
20.716667	0
20.733333	0
20.750000	0
20.766667	0
20.783333	0
20.800000	0
20.816667	0
20.833333	0
20.850000	0
20.866667	0
20.883333	0
20.900000	0
20.916667	0
20.933333	0
20.950000	0
20.966667	0
20.983333	0
21.000000	0
21.016667	0
21.033333	0
21.050000	0
21.066667	0
21.083333	0
21.100000	0
21.116667	0
21.133333	0
21.150000	0
21.166667	0
21.183333	0
21.200000	0
21.216667	0
21.233333	0
21.250000	0
21.266667	0
21.283333	0
21.300000	0
21.316667	0
21.333333	0
21.350000	0
21.366667	0
21.383333	0
21.400000	0
21.416667	0
21.433333	0
21.450000	0
21.466667	0
21.483333	0
21.500000	0
21.516667	0
21.533333	0
21.550000	0
21.566667	0
21.583333	0
21.600000	0
21.616667	0
21.633333	0
21.650000	0
21.666667	0
21.683333	0
21.700000	0
21.716667	0
